Round,Alive,Dead,Requesting,ChargingEvents,ESI,MWC_failures,ReassignedTasks,TotalEnergyConsumed
1,100,0,10,8,1.0,1,0,25.0
2,99,1,15,12,0.99,0,3,105.0
3,98,2,20,16,0.98,0,6,185.0
4,97,3,25,20,0.97,0,9,265.0
5,96,4,30,24,0.96,0,0,345.0
6,95,5,35,8,0.95,0,3,425.0
7,94,6,40,12,0.94,0,6,505.0
8,93,7,10,16,0.93,0,9,585.0
9,92,8,15,20,0.92,0,0,665.0
10,91,9,20,24,0.91,0,3,745.0
11,90,10,25,8,0.9,1,6,825.0
12,89,11,30,12,0.89,0,9,905.0
13,88,12,35,16,0.88,0,0,985.0
14,87,13,40,20,0.87,0,3,1065.0
15,86,14,10,24,0.86,0,6,1145.0
16,85,15,15,8,0.85,0,9,1225.0
17,84,16,20,12,0.84,0,0,1305.0
18,83,17,25,16,0.83,0,3,1385.0
19,82,18,30,20,0.82,0,6,1465.0
20,81,19,35,24,0.81,0,9,1545.0
21,80,20,40,8,0.8,1,0,1625.0
22,79,21,10,12,0.79,0,3,1705.0
23,78,22,15,16,0.78,0,6,1785.0
24,77,23,20,20,0.77,0,9,1865.0
25,76,24,25,24,0.76,0,0,1945.0
26,75,25,30,8,0.75,0,3,2025.0
27,74,26,35,12,0.74,0,6,2105.0
28,73,27,40,16,0.73,0,9,2185.0
29,72,28,10,20,0.72,0,0,2265.0
30,71,29,15,24,0.71,0,3,2345.0
31,70,30,20,8,0.7,1,6,2425.0
32,69,31,25,12,0.69,0,9,2505.0
33,68,32,30,16,0.68,0,0,2585.0
34,67,33,35,20,0.67,0,3,2665.0
35,66,34,40,24,0.66,0,6,2745.0
36,65,35,10,8,0.65,0,9,2825.0
37,64,36,15,12,0.64,0,0,2905.0
38,63,37,20,16,0.63,0,3,2985.0
39,62,38,25,20,0.62,0,6,3065.0
40,61,39,30,24,0.61,0,9,3145.0
41,60,40,35,8,0.6,1,0,3225.0
42,59,41,40,12,0.59,0,3,3305.0
43,58,42,10,16,0.58,0,6,3385.0
44,57,43,15,20,0.57,0,9,3465.0
45,56,44,20,24,0.56,0,0,3545.0
46,55,45,25,8,0.55,0,3,3625.0
47,54,46,30,12,0.54,0,6,3705.0
48,53,47,35,16,0.53,0,9,3785.0
49,52,48,40,20,0.52,0,0,3865.0
50,51,49,10,24,0.51,0,3,3945.0
