Round,Alive,Dead,Requesting,ChargingEvents,ESI,MWC_failures,ReassignedTasks,TotalEnergyConsumed
1,500,0,50,40,1.0,1,0,125.0
2,493,7,55,44,0.986,0,3,205.0
3,486,14,60,48,0.972,0,6,285.0
4,479,21,65,52,0.958,0,9,365.0
5,472,28,70,56,0.944,0,0,445.0
6,465,35,75,40,0.93,0,3,525.0
7,458,42,80,44,0.916,0,6,605.0
8,451,49,50,48,0.902,0,9,685.0
9,444,56,55,52,0.888,0,0,765.0
10,437,63,60,56,0.874,0,3,845.0
11,430,70,65,40,0.86,1,6,925.0
12,423,77,70,44,0.846,0,9,1005.0
13,416,84,75,48,0.832,0,0,1085.0
14,409,91,80,52,0.818,0,3,1165.0
15,402,98,50,56,0.804,0,6,1245.0
16,395,105,55,40,0.79,0,9,1325.0
17,388,112,60,44,0.776,0,0,1405.0
18,381,119,65,48,0.762,0,3,1485.0
19,374,126,70,52,0.748,0,6,1565.0
20,367,133,75,56,0.734,0,9,1645.0
21,360,140,80,40,0.72,1,0,1725.0
22,353,147,50,44,0.706,0,3,1805.0
23,346,154,55,48,0.692,0,6,1885.0
24,339,161,60,52,0.678,0,9,1965.0
25,332,168,65,56,0.664,0,0,2045.0
26,325,175,70,40,0.65,0,3,2125.0
27,318,182,75,44,0.636,0,6,2205.0
28,311,189,80,48,0.622,0,9,2285.0
29,304,196,50,52,0.608,0,0,2365.0
30,297,203,55,56,0.594,0,3,2445.0
31,290,210,60,40,0.58,1,6,2525.0
32,283,217,65,44,0.566,0,9,2605.0
33,276,224,70,48,0.552,0,0,2685.0
34,269,231,75,52,0.538,0,3,2765.0
35,262,238,80,56,0.524,0,6,2845.0
36,255,245,50,40,0.51,0,9,2925.0
37,248,252,55,44,0.496,0,0,3005.0
38,241,259,60,48,0.482,0,3,3085.0
39,234,266,65,52,0.468,0,6,3165.0
40,227,273,70,56,0.454,0,9,3245.0
41,220,280,75,40,0.44,1,0,3325.0
42,213,287,80,44,0.426,0,3,3405.0
43,206,294,50,48,0.412,0,6,3485.0
44,199,301,55,52,0.398,0,9,3565.0
45,192,308,60,56,0.384,0,0,3645.0
46,185,315,65,40,0.37,0,3,3725.0
47,178,322,70,44,0.356,0,6,3805.0
48,171,329,75,48,0.342,0,9,3885.0
49,164,336,80,52,0.328,0,0,3965.0
50,157,343,50,56,0.314,0,3,4045.0
